menu,Description,q
Big-Batch Strawberry Compote ,เมนูของหวาน เมนู Big-Batch Strawberry Compote มีวัตถุดิบ สตรอว์เบอร์รี่มะนาวมะนาว,อยากกินของหวานที่มีรสชาติเปรี้ยวหวาน
Rhubarb Custard Cake ,เมนูของหวาน เมนู Rhubarb Custard Cake มีวัตถุดิบ เหล้ารัมมะนาวรูบาร์บ,อยากกินของหวานที่มีรสชาติรัมแรงๆ
Brioche au Rhum ,เมนูของหวาน เมนู Brioche au Rhum มีวัตถุดิบ เหล้ารัมส้มวนิลาวานิลลาฟิก,อยากกินของหวานที่มีเนื้อนุ่มๆ เหมือนขนมปัง
Italian Sundaes with Nutella ,เมนูของหวาน เมนู Italian Sundaes with Nutella มีวัตถุดิบ เฮเซลนัท,อยากกินของหวานที่มีความเปรี้ยวจี๊ด
Tiramisù with Amaretti Cookies ,เมนูของหวาน เมนู Tiramisù with Amaretti Cookies มีวัตถุดิบ มาสคาร์โปเน่เหล้ารัมกาแฟโกโก้,อยากกินของหวานที่มีรสชาติขมๆ ในส่วนของโกโก้
Banana Coconut Muffins ,เมนูของหวาน เมนู Banana Coconut Muffins มีวัตถุดิบ กล้วยวนิلامะพร้าว,อยากกินของหวานที่มีกลิ่นหอมของกล้วย
Mini Doughnut Muffins ,เมนูของหวาน เมนู Mini Doughnut Muffins มีวัตถุดิบ วนิลาราสเบอร์รี่แอปริคอท,อยากกินของหวานที่กรอบนอกนุ่มใน
Giant Vanilla Donut Cake ,เมนูของหวาน เมนู Giant Vanilla Donut Cake มีวัตถุดิบ วานิลลา,อยากกินของหวานที่นุ่มฟูและมีรสชาติหวานละมุน
Butterscotch–Potato Chip Balls ,เมนูของหวาน เมนู Butterscotch–Potato Chip Balls มีวัตถุดิบ วานิลลา,อยากกินของหวานที่หนึบๆ มีรสชาติหวานมัน เค็มเล็กน้อย
Coconut-Chocolate Icebox Cake with Toasted Almonds ,เมนูของหวาน เมนู Coconut-Chocolate Icebox Cake with Toasted Almonds มีวัตถุดิบ มะพร้าว อัลมอนด์ ช็อกโกแลต,อยากกินของหวานที่เย็นชื่นใจ มีความกรุบกรอบของถั่วและเนื้อมะพร้าวที่นุ่ม
Strawberry-Rhubarb Galette with Buckwheat Crust ,เมนูของหวาน เมนู Strawberry-Rhubarb Galette with Buckwheat Crust มีวัตถุดิบ รูบาร์บ สตรอเบอร์รี่ วานิลลา,อยากกินของหวานที่รสชาติเปรี้ยวอมหวาน มีความฉ่ำของผลไม้และความกรอบของแป้ง
Swirled Sesame Tea Cake ,เมนูของหวาน เมนู Swirled Sesame Tea Cake มีวัตถุดิบ กระวาน ทาฮินี วานิลลา,อยากกินของหวานที่หอมกลิ่นเครื่องเทศ มีรสชาติหวานมัน
Poppy Seed and Pecan Strudel ,เมนูของหวาน เมนู Poppy Seed and Pecan Strudel มีวัตถุดิบ พิคานวานิลา,ขอเมนูของหวานที่เป็นแป้งโรลหอมกลิ่นวานิลาที่มีรสชาติของถั่ว
Salted Caramel–Chocolate Tart ,เมนูของหวาน เมนู Salted Caramel–Chocolate Tart มีวัตถุดิบ โกโก้ช็อคโกแลต,ขอเมนูของหวานที่เป็นทาร์ตที่มีรสชาติหวานเค็มตัดกันและมีส่วนผสมของโกโก้
Mini Raspberry and Coconut Cream Tarts ,เมนูของหวาน เมนู Mini Raspberry and Coconut Cream Tarts มีวัตถุดิบ พิคานกะทิกะทิกอินทผลัมวานิลากะทิกะทิกะทิกราสเบอรี่ราสเบอรี่อบเชย,ขอเมนูของหวานที่เป็นทาร์ตขนาดเล็กที่มีส่วนผสมของผลไม้รสเปรี้ยวและมีเนื้อครีมเบาๆ
Sweet Potato Rice Crispies ,เมนูของหวาน เมนู Sweet Potato Rice Crispies มีวัตถุดิบ วานิลลาอบเชยลูกจันทน์พิคานมาร์ชเมลโลว์,ขอเมนูของหวานที่มีรสชาติหวานหอมอบอุ่นคล้ายกับรสชาติของฟักทองและเครื่องเทศ
Hot Cocoa Cake ,เมนูของหวาน เมนู Hot Cocoa Cake มีวัตถุดิบ วานิลลากาแฟโกโก้ช็อกโกแลต,ขอเมนูของหวานที่มีเนื้อเค้กที่ชุ่มฉ่ำและมีรสชาติเข้มข้นจากกาแฟ
Vanilla Heart Cakes with Rosewater Icing ,เมนูของหวาน เมนู Vanilla Heart Cakes with Rosewater Icing มีวัตถุดิบ วานิลลากุหลาบ,ขอเมนูของหวานที่เป็นเค้กรูปหัวใจที่มีรสชาติหวานละมุนจากวานิลลาและมีกลิ่นหอมของดอกไม้
Raspberry Chocolate Chip Scones ,เมนูของหวาน เมนู Raspberry Chocolate Chip Scones มีวัตถุดิบ กะทิ ช็อคโกแลต ราสป์เบอร์รี,เมนูอาหารที่มีราสป์เบอร์รีและรสชาติหวานมัน
"Chocolate Chip, Peanut Butter, and Banana Cookies ","เมนูของหวาน เมนู Chocolate Chip, Peanut Butter, and Banana Cookies มีวัตถุดิบ กล้วย ถั่วลิสง วานิลลา ข้าวโอ๊ต ช็อคโกแลต",หาขนมที่รวมกล้วยกับถั่วลิสง
One-Bowl Vanilla Cake ,เมนูของหวาน เมนู One-Bowl Vanilla Cake มีวัตถุดิบ วานิลลา,อยากได้เค้กวานิลลาทำง่ายๆ
Christmas Bombe with Spiced Cake and Chocolate-Brandy Glaze ,เมนูของหวาน เมนู Christmas Bombe with Spiced Cake and Chocolate-Brandy Glaze มีวัตถุดิบ วานิลลา แอปริคอต เชอร์รี พิสตาชิโอ ช็อคโกแลต อบเชย ส้ม กานพลู ลูกจันทน์เทศ บรั่นดี,ขอขนมอะไรก็ได้ที่มีกลิ่นเครื่องเทศเยอะๆ
Hazelnut Lace Sandwich Cookies ,เมนูของหวาน เมนู Hazelnut Lace Sandwich Cookies มีวัตถุดิบ เฮเซลนัท เมเปิ้ล วานิลลา บลูเบอร์รี่ มะนาว,คุกกี้เมนูไหนที่มีรสชาติของถั่วและผลไม้รสเปรี้ยว?
Monkey Bread ,เมนูของหวาน เมนู Monkey Bread มีวัตถุดิบ อบเชย คาราเมล,ฉันอยากได้ขนมอบที่มีรสคาราเมลและเครื่องเทศ คุณมีเมนูไหนไหม?
Ube (Purple Yam) Candies ,เมนูของหวาน เมนู Ube (Purple Yam) Candies มีวัตถุดิบ มะนาว,ฉันกำลังมองหาขนมที่ทำจากมันม่วง มีเมนูไหนแนะนำไหม?
Frosted Malt-Chocolate Cookies ,เมนูของหวาน เมนู Frosted Malt-Chocolate Cookies มีวัตถุดิบ ช็อกโกแลต โกโก้ วานิลลา,มีคุกกี้ช็อกโกแลตเมนูไหนที่มีโกโก้และวานิลลาด้วยไหม?
Simple Vanilla Jam Drops ,เมนูของหวาน เมนู Simple Vanilla Jam Drops มีวัตถุดิบ วานิลลาราสเบอร์รี่,อยากกินของหวานที่หอมกลิ่นวานิลลาเบาๆ หวานอมเปรี้ยว
Cinnamon Toast Bites ,เมนูของหวาน เมนู Cinnamon Toast Bites มีวัตถุดิบ วานิลลาอบเชย,อยากกินของหวานที่อบเชยเด่นชัดและมีกลิ่นวานิลลา
Nutter Butter® Cookies ,เมนูของหวาน เมนู Nutter Butter® Cookies มีวัตถุดิบ เนยถั่วถั่วน้ำผึ้งวานิลลา,อยากกินของหวานที่มีกลิ่นถั่วและรสหวานจากน้ำผึ้ง
No-Bake Pistachio–White Chocolate Cookies ,เมนูของหวาน เมนู No-Bake Pistachio–White Chocolate Cookies มีวัตถุดิบ อัลมอนด์ช็อกโกแลตข้าวโอ๊ตแครนเบอร์รี่พิสตาชิโอ,อยากกินของหวานที่มีกลิ่นพิสตาชิโอชัดเจน
Crispy Whole Wheat Graham Crackers ,เมนูของหวาน เมนู Crispy Whole Wheat Graham Crackers มีวัตถุดิบ วานิลลาอบเชยน้ำผึ้ง,อยากกินของหวานกรุบกรอบที่มีกลิ่นอบเชยและน้ำผึ้ง
Caramel Apple Drip Cake with Candied Walnuts ,เมนูของหวาน เมนู Caramel Apple Drip Cake with Candied Walnuts มีวัตถุดิบ วอลนัท อบเชย ลูกจันทน์เทศ แอปเปิล วานิลลา,มีขนมอะไรที่ผสมผสานรสชาติหวานของแอปเปิลกับรสชาติเผ็ดร้อนของเครื่องเทศบ้าง
Retro Strawberries-and-Cream Pretzel Tart ,เมนูของหวาน เมนู Retro Strawberries-and-Cream Pretzel Tart มีวัตถุดิบ เพรตเซล วานิลลา สตรอเบอร์รี,กำลังมองหาขนมหวานที่มีพื้นฐานเป็นขนมปังเพรตเซลอยู่บ้างไหม
Salted Apple Pretzel Pie ,เมนูของหวาน เมนู Salted Apple Pretzel Pie มีวัตถุดิบ แอปเปิล เลมอน อบเชย ลูกจันทน์เทศ เพรตเซล,ขอขนมที่ผสมผสานความเปรี้ยวของแอปเปิลกับความเค็มของเพรตเซลหน่อย
Olive Oil Cake ,เมนูของหวาน เมนู Olive Oil Cake มีวัตถุดิบ อัลมอนด์ เลมอน วานิลลา,อยากทานเค้กที่เน้นความหอมของมะนาวและน้ำมันมะกอกจัง
Chocolate–Almond Praline Cookies ,เมนูของหวาน เมนู Chocolate–Almond Praline Cookies มีวัตถุดิบ อัลมอนด์ วานิลลา ช็อกโกแลต,อยากได้คุกกี้ช็อกโกแลตที่ผสมผสานความกรุบกรอบของอัลมอนด์
Spiced Pavlova with Pumpkin Mousse ,เมนูของหวาน เมนู Spiced Pavlova with Pumpkin Mousse มีวัตถุดิบ ขิง ออลสไปซ์ ลูกจันทน์เทศ กานพลู อบเชย ฟักทอง วานิลลา ทับทิม เลมอน,กำลังมองหาของหวานที่ผสมผสานรสเผ็ดร้อนของเครื่องเทศกับความนุ่มหวานของฟักทอง
Whole Wheat Cranberry Orange Cupcakes ,เมนูของหวาน เมนู Whole Wheat Cranberry Orange Cupcakes มีวัตถุดิบ ส้มแครนเบอร์รี่ ส้ม วานิลลา,มีขนมอะไรที่ผสมผสานได้ทั้งความเปรี้ยวและหวานจากผลไม้รสชาติสดชื่น?
Chocolate and Pumpkin Zebra Cake ,เมนูของหวาน เมนู Chocolate and Pumpkin Zebra Cake มีวัตถุดิบ อบเชย ออลสไปซ์ ขิง กานพลู ฟักทอง วานิลลา ส้ม โกโก้ ช็อกโกแลต,อยากกินเค้กที่มีกลิ่นหอมเครื่องเทศอุ่นๆ ให้ความรู้สึกถึงบรรยากาศเทศกาล
Make-Ahead Whipped Cream ,เมนูของหวาน เมนู Make-Ahead Whipped Cream มีวัตถุดิบ วานิลลา,มีเมนูของหวานอะไรที่ให้ความรู้สึกเบาๆ สดชื่น และสามารถเตรียมล่วงหน้าได้?
BA's Best Apple Cider Doughnuts ,เมนูของหวาน เมนู BA's Best Apple Cider Doughnuts มีวัตถุดิบ อบเชย แอปเปิล วานิลลา ลูกจันทน์เทศ,อยากกินโดนัทที่มีกลิ่นหอมของแอปเปิลและเครื่องเทศ
Apple Brioche Tart ,เมนูของหวาน เมนู Apple Brioche Tart มีวัตถุดิบ แอปเปิล อบเชย,มีของหวานอะไรที่เน้นความเปรี้ยวของผลไม้คู่กับเครื่องเทศอบอุ่นๆ?
Blackberry-Tahini Yogurt Cake ,เมนูของหวาน เมนู Blackberry-Tahini Yogurt Cake มีวัตถุดิบ อบเชย ส้มแบล็กเบอร์รี่ ทาฮินี,มีเค้กที่ให้รสชาติแปลกใหม่ออกไป มีสัมผัสจากธัญพืชและผลไม้?
Ricotta Pie with Amarena Cherries ,เมนูของหวาน เมนู Ricotta Pie with Amarena Cherries มีวัตถุดิบ อัลมอนด์ ริคอตต้า วานิลลา เลมอน ส้ม เชอร์รี่,อยากกินของหวานที่ผสมผสานความมันจากถั่วและผลไม้รสเปรี้ยวสดชื่น
Tahini Cookies ,เมนูของหวาน เมนู Tahini Cookies มีวัตถุดิบ น้ำผึ้ง ทาฮินี,มีคุกกี้ที่ใช้เมล็ดจากพืชชนิดหนึ่งเป็นส่วนผสมหลักไหม?
Baked Plum Pudding ,เมนูของหวาน เมนู Baked Plum Pudding มีวัตถุดิบ พลัม อานิซ วานิลลา,อยากกินขนมแบบอบที่มีกลิ่นหอมของลูกพลัม
Pear Crisps with Vanilla Brown Butter ,เมนูของหวาน เมนู Pear Crisps with Vanilla Brown Butter มีวัตถุดิบ อัลมอนด์ วานิลลา ลูกแพร์ บรั่นดี,อยากได้เมนูผลไม้ที่อบพร้อมครัมเบิ้ลหอมๆ ทานคู่กับซอสอุ่นๆ
Orange Cranberry Cupcakes ,เมนูของหวาน เมนู Orange Cranberry Cupcakes มีวัตถุดิบ ส้ม วานิลลา แครนเบอร์รี่,อยากกินของหวานที่รสชาติเหมือนส้มแท้ๆ
Vegan Apple Cider Cupcakes ,เมนูของหวาน เมนู Vegan Apple Cider Cupcakes มีวัตถุดิบ แอปเปิ้ล อบเชย กานพลู พริกกระวาน เมเปิ้ล วานิลลา คาราเมล,อยากกินขนมที่มีกลิ่นรสของแอปเปิ้ลและเครื่องเทศ
Larry the Turkey Cupcakes ,เมนูของหวาน เมนู Larry the Turkey Cupcakes มีวัตถุดิบ ฟักทอง วานิลลา ช็อกโกแลต ขิง คาราเมล เกรแฮม มาร์ชเมลโล่,อยากกินคัพเค้กรสฟักทองที่มีอะไรกรุบๆ
Pumpkin Patch Cupcakes ,เมนูของหวาน เมนู Pumpkin Patch Cupcakes มีวัตถุดิบ ส้ม ฟักทอง วานิลลา,อยากกินคัพเค้กฟักทองที่มีอะไรเปรี้ยวๆ
Pumpkin Spice Cupcakes ,เมนูของหวาน เมนู Pumpkin Spice Cupcakes มีวัตถุดิบ วานิลลา ฟักทอง,อยากกินคัพเค้กที่หวานๆ หอมๆ
2-Minute Chocolate Chip and Pecan Cookie ,เมนูของหวาน เมนู 2-Minute Chocolate Chip and Pecan Cookie มีวัตถุดิบ วนิลลา พีแคน ช็อกโกแลต,อยากกินขนมหวานที่ได้รสชาติหอมหวานและสัมผัสได้ถึงรสชาติของถั่ว
Oven-Dried Strawberries ,เมนูของหวาน เมนู Oven-Dried Strawberries มีวัตถุดิบ สตรอว์เบอร์รี,อยากกินขนมหวานที่ทำจากสตรอว์เบอร์รีมีรสหวานธรรมชาติ
Chocolate Spoonful Cake ,เมนูของหวาน เมนู Chocolate Spoonful Cake มีวัตถุดิบ ช็อกโกแลต วนิลลา โกโก้,แนะนำขนมหวานที่เน้นรสชาติช็อกโกแลตเข้มข้น
Autumn Leaves Cupcake Wreath ,เมนูของหวาน เมนู Autumn Leaves Cupcake Wreath มีวัตถุดิบ ช็อกโกแลต เมเปิ้ล ส้ม คาราเมล,อยากกินขนมหวานที่ได้รสชาติช็อกโกแลตเข้มข้นพร้อมกลิ่นหอมของส้มหรือเมเปิ้ล
3-Ingredient Seared Dates with Vanilla Ice Cream and Mint ,เมนูของหวาน เมนู 3-Ingredient Seared Dates with Vanilla Ice Cream and Mint มีวัตถุดิบ อินทผาลัม วนิลลา มิ้นต์,แนะนำขนมหวานที่มีรสชาติหวานเย็นจากอินทผาลัม
3-Ingredient Creamy Coconut-Lime Ice Pops ,เมนูของหวาน เมนู 3-Ingredient Creamy Coconut-Lime Ice Pops มีวัตถุดิบ มะพร้าว มะนาว,อยากกินของหวานที่มีรสชาติหวานเย็นชื่นใจและได้รสเปรี้ยวจากมะนาว
Honey Brioche ,เมนูของหวาน เมนู Honey Brioche มีวัตถุดิบ ลาเวนเดอร์,มีขนมหวานที่ได้รสชาติหวานละมุนและมีกลิ่นหอมของลาเวนเดอร์ไหม
Lemon and Elderflower Tart ,เมนูของหวาน เมนู Lemon and Elderflower Tart มีวัตถุดิบ เลม่อน,อยากกินขนมที่หวานเปรี้ยวแล้วมีรสชาติของมะนาว
Brownie Ice-Cream Sandwich ,เมนูของหวาน เมนู Brownie Ice-Cream Sandwich มีวัตถุดิบ วานิลลา,อยากกินขนมที่กรอบ ส่วนไส้เป็นเนื้อครีม
Cinnamon Apple Cupcakes ,เมนูของหวาน เมนู Cinnamon Apple Cupcakes มีวัตถุดิบ วานิลลา อบเชย แอปเปิล,อยากกินเค้กที่มีรสและกลิ่นเหมือนแอปเปิล
Brown Rice Caramel Glaze ,เมนูของหวาน เมนู Brown Rice Caramel Glaze มีวัตถุดิบ วานิลลา,อยากกินข้าวอบที่ราดซอสหวานๆ
Vegan Fluffy Buttercream Frosting ,เมนูของหวาน เมนู Vegan Fluffy Buttercream Frosting มีวัตถุดิบ วานิลลา,อยากกินของหวานที่มีเนื้อคล้ายครีม
Frozen Chocolate Bananas ,เมนูของหวาน เมนู Frozen Chocolate Bananas มีวัตถุดิบ กล้วย ช็อกโกแลต วอลนัท,อยากกินอะไรที่หวานๆ เย็นๆ แล้วมีถั่ว
Oatmeal Ice Cream Cookie Sandwiches ,เมนูของหวาน เมนู Oatmeal Ice Cream Cookie Sandwiches มีวัตถุดิบ ข้าวโอ๊ต วานิลลา,อยากกินของหวานที่มีเนื้อเหมือนคุกกี้
Lime Custards With Lychees ,เมนูของหวาน เมนู Lime Custards With Lychees มีวัตถุดิบ มะนาว,อยากกินของหวานที่มีมะนาวแล้วมีเนื้อลื่นๆ
Ice Cream With Saffron Oil And Sesame Wafer ,เมนูของหวาน เมนู Ice Cream With Saffron Oil And Sesame Wafer มีวัตถุดิบ น้ำผึ้ง หญ้าฝรั่น วนิลลา,อยากกินของหวานที่มีส่วนผสมพิเศษที่ให้กลิ่นหอมหวาน
My Favorite Sweet Shortcrust Pastry ,เมนูของหวาน เมนู My Favorite Sweet Shortcrust Pastry มีวัตถุดิบ อัลมอนด์,อยากกินของหวานรสหวานที่กรุบกรอบ
My Favorite Brownie ,เมนูของหวาน เมนู My Favorite Brownie มีวัตถุดิบ ช็อกโกแลต โกโก้,อยากกินของหวานเนื้อหนาแน่นเข้มข้น
"Homemade ""Dole Whip"" ","เมนูของหวาน เมนู Homemade ""Dole Whip"" มีวัตถุดิบ สับปะรด มะพร้าว กล้วย",อยากกินของหวานที่มีส่วนผสมของน้ำผลไม้รสเปรี้ยวและกลิ่นหอม
Raspberry and Pistachio Friands ,เมนูของหวาน เมนู Raspberry and Pistachio Friands มีวัตถุดิบ พิสตาชิโอ อัลมอนด์ ราสเบอร์รี่,อยากกินของหวานที่มีถั่วและผลเบอร์รี่
Toasted Marshmallow Cupcakes ,เมนูของหวาน เมนู Toasted Marshmallow Cupcakes มีวัตถุดิบ วนิลลา โกโก้ ช็อกโกแลต,อยากกินของหวานที่มีเนื้อนุ่มและมีกลิ่นไหม้ของมาร์ชเมลโลว์
Peach and Pomegranate Pavlova ,เมนูของหวาน เมนู Peach and Pomegranate Pavlova มีวัตถุดิบ ราสเบอร์รี่ พีช ทับทิม,อยากกินของหวานที่มีผลไม้รสเปรี้ยวและหวาน
Fresh Peach Crostata ,เมนูของหวาน เมนู Fresh Peach Crostata มีวัตถุดิบ พีช จันทน์เทศ อัลมอนด์,อยากกินของหวานที่มีผลไม้เนื้อนุ่มและกลิ่นหอมเครื่องเทศ
Boozy Concord-Grape Ice Pops ,เมนูของหวาน เมนู Boozy Concord-Grape Ice Pops มีวัตถุดิบ เกรปมะนาว,อยากกินของหวานที่มีความเปรี้ยวหวาน
Chocolate Glaze ,เมนูของหวาน เมนู Chocolate Glaze มีวัตถุดิบ กาแฟช็อกโกแลต,อยากกินของหวานที่มีกลิ่นกาแฟชัดๆ
Grilled Apricots with Almond Cream and Fregolotta ,เมนูของหวาน เมนู Grilled Apricots with Almond Cream and Fregolotta มีวัตถุดิบ อัลมอนด์วานิลลาอัลมอนด์แอพริคอตอัลมอนด์น้ำผึ้ง,อยากกินของหวานที่มีทั้งความหอมหวานและหอมถั่ว
One-Hour Apricot and Almond Galette ,เมนูของหวาน เมนู One-Hour Apricot and Almond Galette มีวัตถุดิบ อัลมอนด์อัลมอนด์วานิลลาแอพริคอต,อยากกินของหวานที่หอมกลิ่นถั่วและมีผลไม้
Nectarines and Peaches with Lavender Syrup ,เมนูของหวาน เมนู Nectarines and Peaches with Lavender Syrup มีวัตถุดิบ พีแคนฮันนี่โรสแมรี่ลาเวนเดอร์พีชเลมอน,อยากกินของหวานที่หอมกลิ่นดอกไม้
Chocolate and Passionfruit Layer Cake ,เมนูของหวาน เมนู Chocolate and Passionfruit Layer Cake มีวัตถุดิบ ช็อกโกแลตเสาวรสช็อกโกแลตช็อกโกแลต,อยากกินของหวานที่รสชาติเปรี้ยวหวาน
Roasted Banana Vegan Ice Cream ,เมนูของหวาน เมนู Roasted Banana Vegan Ice Cream มีวัตถุดิบ กล้วยมะพร้าว มะพร้าว มะม่วงหิมพานต์ กะทิมะพร้าว วอลนัท,อยากกินไอศกรีมรสชาติกล้วยที่มีความหวานมัน
Malted Milk Piñata Cake ,เมนูของหวาน เมนู Malted Milk Piñata Cake มีวัตถุดิบ วานิลลา,อยากกินเค้กที่มีรสชาติหวานๆ หอมวานิลลา
Grill-Roasted Pineapple ,เมนูของหวาน เมนู Grill-Roasted Pineapple มีวัตถุดิบ สับปะรด,อยากกินขนมรสชาติหวานอมเปรี้ยวหน่อย
Boozy Piña Colada Ice Cream ,เมนูของหวาน เมนู Boozy Piña Colada Ice Cream มีวัตถุดิบ สับปะรด รัม เชอร์รี่,มีไอศกรีมรสชาติแบบไหนที่ผสมแอลกอฮอล์บ้าง
Edible Cookie Dough with Variations ,เมนูของหวาน เมนู Edible Cookie Dough with Variations มีวัตถุดิบ วานิลลา ช็อกโกแลต โกโก้ มาร์ชเมลโลว์ อัลมอนด์ ข้าวโอ๊ต ลูกเกด อบเชย ถั่ว ถั่วช็อกโกแลต,อยากได้ของหวานแบบที่เลือกใส่เนื้อด้านในได้เอง
Passionfruit Curd ,เมนูของหวาน เมนู Passionfruit Curd มีวัตถุดิบ เสาวรส,มีอะไรที่ทำจากเสาวรสบ้าง
Frosé (Frozen Rosé) Ice Pops ,เมนูของหวาน เมนู Frosé (Frozen Rosé) Ice Pops มีวัตถุดิบ สตรอว์เบอร์รี่ ราสเบอร์รี่,มีไอศกรีมผลไม้รสไหนบ้าง
Rhubarb Turnovers ,เมนูของหวาน เมนู Rhubarb Turnovers มีวัตถุดิบ แอปเปิ้ล รูบาร์บ ลูกจันทน์เทศ มะนาว,อยากได้ขนมอบรสเปรี้ยวที่มีแอปเปิ้ล
Raspberry Crème Fraîche Tart with Lavender Honey ,เมนูของหวาน เมนู Raspberry Crème Fraîche Tart with Lavender Honey มีวัตถุดิบ น้ำผึ้งราสเบอร์รี่,อยากกินของหวานที่มีรสชาติหวานอมเปรี้ยวและมีกลิ่นหอมอ่อนๆ
Pound Cake with Blueberries and Lavender Syrup ,เมนูของหวาน เมนู Pound Cake with Blueberries and Lavender Syrup มีวัตถุดิบ เลม่อนลาเวนเดอร์วานิลลาเลม่อนบลูเบอร์รี่,อยากกินของหวานที่มีรสเปรี้ยวอมหวานและมีบลูเบอร์รี่
Easy Fruit Tart with Pecan Cookie Crust ,เมนูของหวาน เมนู Easy Fruit Tart with Pecan Cookie Crust มีวัตถุดิบ วานิลลาเพคานเลม่อนมะม่วง,อยากกินของหวานที่มีรสเปรี้ยวอมหวานและมีผลไม้สด
Lemon Buttermilk Ice ,เมนูของหวาน เมนู Lemon Buttermilk Ice มีวัตถุดิบ เลม่อน,อยากกินของหวานที่มีรสเปรี้ยวสดชื่น
Chocolate-Covered Peanuts ,เมนูของหวาน เมนู Chocolate-Covered Peanuts มีวัตถุดิบ ช็อกโกแลตถั่ว,อยากกินของหวานที่มีรสชาติหวานหอมและมีถั่ว
Raspberry and Coconut Breakfast Loaf ,เมนูของหวาน เมนู Raspberry and Coconut Breakfast Loaf มีวัตถุดิบ มะพร้าวอัลมอนด์มะพร้าวเลม่อนน้ำผึ้งราสเบอร์รี่,อยากกินของหวานที่มีรสชาติหวานอมเปรี้ยวและมีกลิ่นหอมอ่อนๆ
Blood Orange–Champagne Ice Cream Float ,เมนูของหวาน เมนู Blood Orange–Champagne Ice Cream Float มีวัตถุดิบ แชมเปญส้มส้ม,อยากกินของหวานที่มีรสชาติเปรี้ยวอมหวานและมีกลิ่นหอมสดชื่น
Double-Chocolate Skillet Brownie ,เมนูของหวาน เมนู Double-Chocolate Skillet Brownie มีวัตถุดิบ ช็อกโกแลตเมเปิ้ลวานิลลาโกโก้เพคานช็อกโกแลตวานิลลาเพคานมิ้นต์,อยากกินของหวานที่มีรสชาติหวานเข้มและมีเนื้อนุ่มชุ่มชื้น
BA's Best Chocolate Macaroon Cake ,เมนูของหวาน เมนู BA's Best Chocolate Macaroon Cake มีวัตถุดิบ มะพร้าวโกโก้อัลมอนด์ช็อกโกแลตมะพร้าววานิลลาช็อกโกแลตเมเปิ้ลมะพร้ามมะพร้าวอัลมอนด์,อยากกินของหวานที่มีรสชาติหวานหอมและมีกลิ่นอายของมะพร้าว
